"employee_id","salary","date"
"2","10500.00","2024-07-27 00:00:00"
"2","6000.00","2024-08-03 00:00:00"
"2","7500.00","2024-07-19 00:00:00"
"2","3500.00","2024-12-26 00:00:00"
"2","9000.00","2024-12-26 00:00:00"
"2","7500.00","2024-12-21 00:00:00"
"2","7500.00","2024-12-14 00:00:00"
"2","7500.00","2024-07-13 00:00:00"
"2","9000.00","2024-12-07 00:00:00"
"2","3000.00","2024-11-30 00:00:00"
"2","9000.00","2024-06-08 00:00:00"
"2","9000.00","2024-06-15 00:00:00"
"2","3000.00","2024-06-22 00:00:00"
"2","6000.00","2024-06-29 00:00:00"
"2","9000.00","2024-06-07 00:00:00"
"2","10500.00","2024-11-25 00:00:00"
"2","7500.00","2024-11-16 00:00:00"
"2","7500.00","2024-11-09 00:00:00"
"2","9000.00","2024-11-01 00:00:00"
"2","9000.00","2024-10-26 00:00:00"
"2","7500.00","2024-10-19 00:00:00"
"2","6000.00","2024-10-12 00:00:00"
"2","9000.00","2024-09-27 00:00:00"
"2","4500.00","2024-09-20 00:00:00"
"2","7500.00","2024-09-14 00:00:00"
"2","6000.00","2024-09-07 00:00:00"
"2","7500.00","2024-08-31 00:00:00"
"2","7500.00","2024-08-24 00:00:00"
"2","6000.00","2024-08-17 00:00:00"
"2","9000.00","2024-08-10 00:00:00"
"3","5000.00","2024-11-04 00:00:00"
"3","6500.00","2024-11-09 00:00:00"
"4","1000.00","2024-11-09 00:00:00"
"4","4000.00","2024-12-27 00:00:00"
"4","4000.00","2024-12-24 00:00:00"
"4","2000.00","2024-12-21 00:00:00"
"4","4000.00","2024-12-13 00:00:00"
"4","6000.00","2024-10-15 00:00:00"
"5","35000.00","2024-11-29 00:00:00"
"5","35000.00","2023-12-30 00:00:00"
"5","10000.00","2023-12-30 00:00:00"
"5","35000.00","2024-01-30 00:00:00"
"5","35000.00","2024-02-29 00:00:00"
"5","35000.00","2024-03-29 00:00:00"
"5","45000.00","2024-03-04 00:00:00"
"5","35000.00","2024-05-01 00:00:00"
"5","35000.00","2024-05-30 00:00:00"
"5","35000.00","2024-07-27 00:00:00"
"5","35000.00","2024-08-28 00:00:00"
"5","35000.00","2024-09-29 00:00:00"
"5","35000.00","2024-10-29 00:00:00"
"5","35000.00","2024-12-28 00:00:00"
"5","15000.00","2024-12-28 00:00:00"
"6","22000.00","2024-01-10 00:00:00"
"6","12000.00","2024-11-01 00:00:00"
"6","12000.00","2024-10-26 00:00:00"
"6","10000.00","2024-10-19 00:00:00"
"6","12000.00","2024-10-12 00:00:00"
"6","12000.00","2024-09-27 00:00:00"
"6","8000.00","2024-09-20 00:00:00"
"6","12000.00","2024-09-14 00:00:00"
"6","12000.00","2024-09-07 00:00:00"
"6","12000.00","2024-08-31 00:00:00"
"6","12000.00","2024-08-24 00:00:00"
"6","12000.00","2024-08-17 00:00:00"
"6","12000.00","2024-08-10 00:00:00"
"6","14000.00","2024-08-03 00:00:00"
"6","14000.00","2024-07-24 00:00:00"
"6","14000.00","2024-07-19 00:00:00"
"6","14000.00","2024-07-13 00:00:00"
"6","14000.00","2024-07-06 00:00:00"
"6","16000.00","2024-06-29 00:00:00"
"6","10000.00","2024-06-22 00:00:00"
"6","16000.00","2024-06-17 00:00:00"
"6","23500.00","2024-06-08 00:00:00"
"6","30000.00","2024-05-27 00:00:00"
"6","12000.00","2024-05-10 00:00:00"
"6","26000.00","2024-05-01 00:00:00"
"6","12000.00","2024-04-21 00:00:00"
"6","15000.00","2024-04-07 00:00:00"
"6","27000.00","2024-04-04 00:00:00"
"6","28000.00","2024-03-21 00:00:00"
"6","14000.00","2024-03-07 00:00:00"
"6","22000.00","2024-02-20 00:00:00"
"6","34000.00","2024-02-18 00:00:00"
"6","28900.00","2024-01-27 00:00:00"
"8","1500.00","2024-11-25 00:00:00"
"8","9000.00","2024-11-30 00:00:00"
"8","8250.00","2024-12-07 00:00:00"
"8","3000.00","2024-12-14 00:00:00"
